['year_Predict', 'Compute_Step', 'p', 'mu', 'k_1', 'k_2', 'alpha', 'a', 'a_1', 'a_2', 'beta_2', 'beta_3', 'rho_1', 'rhoR', 'D_0', 'D']
['2014', 1000, 0.55, 0.0144, 0.4, 0.2, 0.05, 0.14, 0.08, 0.014, 0.05, 0.03, 0.033, 0.04, 19.318568727109373, 0.0144]
['ploygonID', 'S', 'E', 'I_1', 'I_2', 'I_3', 'R', 'SUpdateRatio', 'IncreaseRate']
2 76.9531820729 16.6972058686 53.2080963889 0.220564277778 0.000160392335716 1.79384542296 0.523209110219 0.152173253355
3 93.6173239563 20.9789554023 69.3744874202 0.287601274628 0.000209142471953 2.34016706808 0.508075799678 0.122184809723
4 162.518286888 63.7256072496 163.33294809 0.676679234665 0.00049195478134 28.1954020464 0.416442320387 0.413405235393
5 352.177256126 120.687064318 378.765920813 1.57000722628 0.0011420923894 24.1057746351 0.412771544933 0.478864038534
6 172.639399625 54.6362257928 182.813137853 0.757879611005 0.000551297254635 6.15925490074 0.420203428602 0.361304194963
7 313.616590566 71.1871800092 239.70660428 0.993772920052 0.000722904863228 8.08779860926 0.50138153237 0.291122391647
8 126.929864562 38.1948487906 145.89334202 0.604981182677 0.000440148418916 4.92751385998 0.40731804261 0.315055394711
9 310.727538221 81.8550573811 333.04925236 1.38123146296 0.00100502587589 11.2649459357 0.427402363815 0.307220461336
10 123.209293694 37.1589412413 184.321402974 0.764652264251 0.00055651895983 6.24770308438 0.356658170739 0.324093458868
11 136.556830258 36.3149823626 149.906298748 0.621710668338 0.000452427053484 5.07120726842 0.422253291172 0.371713003691
12 296.22471548 77.3700178582 311.62082901 1.29234105809 0.000940421202294 10.5388174535 0.431494390995 0.36716805703
13 119.787802771 32.1000914424 133.701262096 0.554511123571 0.000403490865604 4.52350515117 0.418627589886 0.308211218394
14 181.129998057 48.751890703 204.598128909 0.848558504337 0.00061751474893 6.92271493381 0.416075927558 0.367623483626
15 119.957134661 32.038523806 133.834519991 0.555066798383 0.000404105774266 4.5279933469 0.418865732024 0.656173058856
16 242.738813082 62.8906977953 250.609945142 1.03930043774 0.000756284892348 8.47437216532 0.435578210811 0.373637168081
17 160.527546829 45.3674836212 133.513956333 0.553347598916 0.000402447225255 4.48879895393 0.472191594662 0.375079159002
18 169.535436962 45.3788880627 189.418490989 0.785595151478 0.000571776630957 6.40863542482 0.418483073123 0.467610405278
19 143.620339777 38.288804617 158.90844121 0.659051446128 0.000479665298175 5.37603015043 0.420585546577 0.458183955439
20 241.13573318 62.4762318388 248.792883862 1.03176369952 0.000750764452977 8.41288888256 0.435705554324 0.342947711849
21 216.5824345 57.1623466618 233.418755785 0.96804687832 0.000704429105583 7.89537798058 0.426232379847 0.350254400393
22 177.528826726 38.7317207328 124.50475063 0.516121023387 0.000375437296697 4.19796983803 0.520182528226 0.316037824866
23 127.758739127 33.0856221461 132.086066357 0.547773839989 0.000398681349911 4.46652839575 0.435325570794 0.492544814151
24 159.744210327 38.8742874934 143.107895815 0.593397285602 0.000431857382448 4.83428648691 0.466651397427 0.500788413835
25 139.761587329 38.1725653256 163.23220434 0.67701604789 0.000492640909613 5.5242866626 0.408846263921 0.300039243705
26 165.510771113 43.198530718 173.264559938 0.718550376896 0.000522770873875 5.85948538353 0.432489748338 0.233320047893
27 180.86700636 46.7573299323 184.958552544 0.767028695283 0.000557993039966 6.25393485381 0.437563319917 0.189865168195
28 257.154004002 70.7223201297 304.840501499 1.26436131291 0.000919955077484 10.3177362687 0.405617132098 0.236637597859
29 98.5617780134 37.1477347286 146.134517415 0.606006569375 0.000440946519295 4.93411831534 0.348952421059 0.413944219504
30 149.250968557 41.661838376 147.059521519 0.609728186457 0.000443597731542 4.96174162564 0.440811230506 0.373822380423
31 155.615012472 41.2476751469 169.689768093 0.703755339315 0.000512166979898 5.74020783627 0.423722705764 0.419578608144
32 135.957965087 35.9247460176 147.269034673 0.610766170426 0.00044451400855 4.98154094788 0.42518360035 0.453534633755
33 311.814559015 72.1142547518 248.650548393 1.03090139244 0.000750032027017 8.39229812941 0.492123009749 0.363883769876
34 201.501981293 52.2217123663 208.422132169 0.864346443597 0.000629027868201 7.04788168812 0.435199310097 0.428961514256
35 170.111628713 49.1413897274 228.427331619 0.947537555729 0.00068962263634 7.73762216377 0.379181437261 0.371286293656
36 255.013021128 51.7180890745 152.707503488 0.632913907177 0.000460210294015 5.14217711807 0.554289389238 0.17516549082
37 89.1515124344 24.8991999087 110.290038228 0.457460254564 0.000332952993324 3.73396796243 0.396584030019 0.429789792438
38 113.653990637 39.7237257256 125.266132066 0.519240545572 0.000377614270231 4.2141000595 0.407123439274 0.295392761325
39 162.643678557 50.1061245843 258.550778127 1.07264793397 0.000780885825339 8.766928579 0.344311234495 0.495804938536
40 326.535550151 65.7608547646 192.419848694 0.797489451437 0.000579737512597 6.47859472213 0.557690115232 0.0630083160886
41 235.610246347 53.4225012753 179.260107517 0.743169067334 0.000540480954889 6.0481129427 0.502328099951 0.162283293335
42 209.268315402 53.3146136786 207.557934943 0.860725521878 0.000626276737677 7.01660363085 0.444304311895 0.327844825665
43 470.948379282 103.899066056 337.042688795 1.39720009008 0.00101590815872 11.3661347332 0.515662308858 0.0697535246149
44 182.407450267 42.9003982754 150.268854446 0.623031191313 0.000453101400786 5.07304998794 0.484868047476 0.113480162124
45 347.351285625 85.8540285878 322.018647052 1.33529659774 0.000971701428614 10.8807579195 0.45911914485 0.432367101675
46 83.3580055312 26.0352249976 136.792452316 0.567523178496 0.000413085142021 4.63918728826 0.3378187758 0.351275103199
47 178.586017774 48.2877698683 203.647556397 0.84462264853 0.000614601048895 6.89097943965 0.414000586787 0.309482032216
48 265.038315361 58.7791989694 191.943944237 0.795708748993 0.000578599395468 6.47355764483 0.513085550371 0.0987924401781
49 266.613658814 70.1768651559 286.531991718 1.18832113353 0.000864933977943 9.69174194829 0.426915393362 0.515106262495
50 160.794631909 45.1500539241 207.137362431 0.85920886668 0.000625576928669 18.3799575419 0.388447360912 0.659901893459
51 165.583368195 57.4628835617 249.133215614 1.03330685286 0.000752147328799 8.4259051193 0.349912584843 0.57722280065
52 116.301470588 19.0311865291 44.551591832 0.184538453261 0.000134094606905 1.49386546744 0.645871978469 0.0875344343346
53 145.123847901 34.4250568349 122.438142042 0.507657172407 0.000369357123653 4.13422443231 0.479756071113 0.359308868153
54 233.575064081 58.9217018043 226.491092814 0.939218853004 0.000683390713529 7.65542797128 0.449245225255 0.338536114838
55 254.452657998 77.7963600114 250.978948196 1.04039261669 0.000756845308629 8.45102401992 0.435505918719 0.429500245155
56 191.108959366 48.5535741004 188.759024702 0.782766267278 0.000569648066904 6.3809068887 0.445262768436 0.435972428206
57 240.070791434 67.000307086 295.848199156 1.22711102367 0.000893022526643 10.0159419748 0.397371288012 0.350026884027
58 274.45679146 67.9414427439 255.466471794 1.05933324994 0.000770918354271 8.63225750673 0.458249160498 0.46025169803
59 287.288256819 78.5163996214 335.368098174 1.39095799775 0.00101204151011 11.3498342329 0.408913580113 0.226740740338
60 268.25446574 70.3076043381 283.666163135 1.17641174628 0.00085590327752 9.59372883295 0.43030493855 0.24521871598
61 217.272461489 51.9849759781 186.213888394 0.772096473859 0.000561588690082 6.28841182562 0.47621989362 0.17643951498
62 197.55511706 51.1065444685 202.979997742 0.841770213917 0.000612488807149 6.86353380795 0.436601291393 0.316817549543
63 277.80832973 76.8212704772 216.370328441 0.896650552801 0.000651897909275 7.26840358136 0.485766173751 0.21911639735
64 166.588377891 37.7766380029 127.068489449 0.526797975465 0.00038321480871 4.28727333041 0.501831646485 0.297418403109
65 141.975278722 36.731898189 145.449824977 0.603185869649 0.000438802015526 4.91810240632 0.437169001139 0.189392757287
66 172.267874242 42.6290676246 166.148811642 0.68900690716 0.00050123075481 28.346253251 0.451275770278 0.204104975836
67 202.318432227 51.1760537691 196.737180599 0.815834477604 0.000593473472202 6.6498590502 0.448551794528 0.188485660303
68 271.413970322 75.2817839283 240.692363052 0.997737250276 0.000725643378686 8.10656493692 0.46128511332 0.271613858381
69 363.837251546 84.7450033736 293.418491001 1.21651788068 0.000884710693346 9.90416513236 0.489543012741 0.120509562495
70 699.737291267 166.705812118 598.139436734 2.48006642874 0.00180380583083 35.3524874328 0.47696426028 0.147901313046
71 379.805366034 97.3458870862 380.777622573 1.57906575593 0.00114871907981 12.8733209783 0.441886386518 0.194387471508
72 215.439969268 54.0321104881 205.808155928 0.853436394442 0.000620894697628 6.9555999869 0.45247732089 0.265260656562
73 484.839519298 125.628830567 467.795638181 1.93974948271 0.00141108945722 23.3784505929 0.448840222543 0.240632826002
74 772.351332094 202.88664834 626.235080728 2.59572475645 0.00188728719812 21.0823881722 0.481494578135 0.12961760524
75 242.65968467 52.1598670038 164.106461971 0.680254060248 0.0004945513062 5.53167386337 0.527972398576 0.0309731296513
76 362.492500524 97.1090782069 403.745182611 1.67448316861 0.00121834151961 13.6596678156 0.419055592301 0.255344796067
77 313.569791741 74.2907965725 262.718130524 1.08927836871 0.000792231027003 8.87044440441 0.481179698681 0.141719439287
78 397.889042577 99.2835092559 376.538160883 1.56140007094 0.00113585949175 16.5132767557 0.454588373622 0.21679980329
79 519.817063575 147.674049193 572.907525829 2.3757698174 0.00172827838866 30.7231960721 0.418270876168 0.215977737414
80 351.67693971 89.5408924279 347.654513672 1.44168739167 0.00104885403731 11.7523555048 0.444983206945 0.245348929844
81 826.010035417 200.35765407 730.234642356 3.02786191924 0.00220243845219 24.6655465389 0.469421929944 0.190205845699
82 309.188633107 75.9303187107 281.439842194 1.16700513169 0.000848970052352 9.50838393932 0.463046718265 0.248786615839
83 348.370000033 91.0627163388 366.297747467 1.51909130313 0.00110525409941 12.3878950355 0.431551210948 0.267191283057
84 153.714038525 53.8242491513 166.29170502 0.689263922887 0.000501304385516 5.59181623337 0.410429717719 0.375471199072
85 680.925199508 184.473308048 778.5233311 3.22890717082 0.00234929930993 26.3438880584 0.413395209907 0.234457289629
86 256.102459731 64.2363171613 244.418397259 1.01354166502 0.000737313887245 8.26042793669 0.452660625265 0.214145789263
